seed,model,macro,weighted,micro,collisions
1,rf,0.9555125232169778,0.955508677615883,0.9564597114718771,325
1,xgboost,0.9543029939300232,0.9543008984472624,0.9547795374202205,348
1,lightgbm,0.945452535946271,0.9454476239128614,0.9477705063372295,323
1,catboost,0.9644569991230838,0.9644554390567522,0.9647679124502849,325
2,rf,0.9481038096174055,0.9480997632572221,0.9495618920739396,323
2,xgboost,0.9499250799727313,0.9499204431958927,0.9515426187804359,323
2,lightgbm,0.9533184910063773,0.9533148624586447,0.9550729727793363,323
2,catboost,0.9401512965761852,0.9401466038521137,0.9429732920878484,347
3,rf,0.955958358403132,0.9559549332591988,0.9568650721927411,327
3,xgboost,0.9524961816623909,0.9524917885720471,0.9539909165880281,351
3,lightgbm,0.9451004214543662,0.94509442210893,0.9467144852052594,326
3,catboost,0.9430232597333645,0.9430205159666732,0.9447318999668565,323
4,rf,0.9562897066836594,0.9562879205896917,0.9567864208648476,323
4,xgboost,0.9585017303747246,0.9585004098993005,0.9588224129346578,343
4,lightgbm,0.9402117487712018,0.9402084923865094,0.9423658696816379,323
4,catboost,0.9602698994346401,0.9602683111694729,0.9606342635968543,345
5,rf,0.9532123984690151,0.9532080352689668,0.9543932022397683,323
5,xgboost,0.9467535054524227,0.9467492092753522,0.9482443155517278,325
5,lightgbm,0.94281086913866,0.9428080281395754,0.9452105985195534,323
5,catboost,0.9632578423179208,0.9632556226463462,0.9635441476529601,325
6,rf,0.9512079404896987,0.9512038979745686,0.952441835588832,323
6,xgboost,0.9492577592820348,0.9492537453743037,0.9510444451940666,323
6,lightgbm,0.9370705629445187,0.9370658221632542,0.9404789731442107,323
6,catboost,0.9615797974774637,0.9615803152601694,0.9617162413544083,323
7,rf,0.9525917223663034,0.9525892753058358,0.9532543333460046,325
7,xgboost,0.9490878015919695,0.9490826270653404,0.9502945307756357,323
7,lightgbm,0.947949794571195,0.9479469111834868,0.9493095347985149,323
7,catboost,0.9583535238106687,0.9583514978332295,0.9587787645364872,346
8,rf,0.9457419190772508,0.9457379594858479,0.9469612222922618,348
8,xgboost,0.963293264444262,0.9632898620646999,0.96362600318003,323
8,lightgbm,0.9499505214918146,0.9499454495733805,0.9514656656290887,323
8,catboost,0.9563687146690919,0.9563663727787642,0.9567038068036636,363
9,rf,0.95140281575409,0.9513982130108447,0.9526527242173124,326
9,xgboost,0.9609002959569823,0.9608974860340829,0.9611985415150809,325
9,lightgbm,0.95087482362852,0.9508704154125212,0.9523575330054761,323
9,catboost,0.9618542104327732,0.9618526663657542,0.9621355642981966,323
10,rf,0.9522569118586797,0.9522544865556961,0.9530647975431511,323
10,xgboost,0.9497309100180272,0.9497273383643835,0.9513011324177237,323
10,lightgbm,0.9509594666150033,0.9509546638990647,0.9527934767136768,323
10,catboost,0.9629655351289272,0.962964609829459,0.9631415656099098,323
