seed,model,macro,dos_f1
1,rf,0.9533,0.9679
1,xgboost,0.9604,0.9782
1,lightgbm,0.9606,0.9743
1,catboost,0.9590,0.9774
2,rf,0.9518,0.9660
2,xgboost,0.9626,0.9734
2,lightgbm,0.9618,0.9722
2,catboost,0.9608,0.9712
3,rf,0.9549,0.9727
3,xgboost,0.9604,0.9783
3,lightgbm,0.9592,0.9769
3,catboost,0.9601,0.9793
4,rf,0.9567,0.9777
4,xgboost,0.9601,0.9817
4,lightgbm,0.9617,0.9823
4,catboost,0.9577,0.9814
5,rf,0.9561,0.9750
5,xgboost,0.9627,0.9784
5,lightgbm,0.9630,0.9784
5,catboost,0.9587,0.9783
6,rf,0.9531,0.9652
6,xgboost,0.9602,0.9702
6,lightgbm,0.9593,0.9677
6,catboost,0.9606,0.9709
7,rf,0.9541,0.9729
7,xgboost,0.9600,0.9763
7,lightgbm,0.9634,0.9806
7,catboost,0.9601,0.9784
8,rf,0.9584,0.9717
8,xgboost,0.9651,0.9779
8,lightgbm,0.9643,0.9780
8,catboost,0.9651,0.9798
9,rf,0.9551,0.9779
9,xgboost,0.9657,0.9841
9,lightgbm,0.9633,0.9835
9,catboost,0.9642,0.9834
10,rf,0.9578,0.9789
10,xgboost,0.9655,0.9837
10,lightgbm,0.9642,0.9808
10,catboost,0.9644,0.9839
